date,code,totalCnt,forignerHaveLimit,forignerHaveCnt,min52week,max52week,per,eps,per_eps_date,estimate_per,estimate_eps,pbr,bps,pbr_bps_date,dvr
2021.02.26 기준(장마감),009420,52240638,52240638,3464634,41950,14650,58.49,377,2020.09,58.00,381,6.71,3285,2020.09,0
2021.02.26 기준(장마감),000670,1842040,1842040,87611,660000,382000,6.16,100629,2020.09,0,0,0.32,1959363,2020.09,0
2021.02.26 기준(장마감),073240,287260287,287260287,15205164,4280,2585,0,-349,2020.09,0,0,0.96,4124,2020.09,0
2021.02.26 기준(장마감),003850,52120000,52120000,3561677,30100,7686,38.44,558,2020.09,34.00,633,3.14,6838,2020.09,0.43
2021.02.26 기준(장마감),020560,74411764,37198441,14606365,29714,9705,0,-11565,2020.09,-7.00,-2211,2.21,6708,2020.09,0
2021.02.26 기준(장마감),001120,38760000,38760000,9549584,30000,6590,7.44,3670,2020.09,11.00,2422,0.71,38555,2020.09,1.47
2021.02.26 기준(장마감),192820,10049509,10049509,2347361,127500,60000,25.87,4040,2020.09,26.00,4042,2.86,36511,2020.09,0
2021.02.26 기준(장마감),003240,1113400,1113400,85910,1038000,487000,10.11,93173,2020.09,0,0,0.24,3976576,2020.09,0
2021.02.26 기준(장마감),005300,8975123,8975123,930023,132500,78900,0,-9751,2020.09,19.00,5963,0.77,149063,2020.09,0
2021.02.26 기준(장마감),008560,675961727,675961727,92847032,4055,2020,4.71,799,2020.09,6.00,655,0.61,6204,2020.09,8.51
2021.02.26 기준(장마감),103140,28024278,28024278,3616972,39700,13500,22.28,1643,2020.09,10.00,3670,0.73,50330,2020.09,1.64
2021.02.26 기준(장마감),007570,19085664,19085664,1596081,106500,19700,96.12,541,2020.09,0,0,4.68,11121,2020.09,0.23
2021.02.26 기준(장마감),114090,61855670,61855670,3983991,18150,10750,0,-215,2020.09,-46.00,-348,1.89,8420,2020.09,0
2021.02.26 기준(장마감),079160,35100000,35100000,2043430,30350,12608,0,-18557,2020.09,-7.00,-3811,7.14,3923,2020.09,0
2021.02.26 기준(장마감),057050,12000000,5880000,3524247,88400,42300,10.61,7494,2020.09,6.00,12874,0.50,157495,2020.09,2.77
2021.02.26 기준(장마감),069260,40878588,40878588,3624989,27650,12100,19.42,1179,2020.09,11.00,2136,1.32,17352,2020.09,4.37
2021.02.26 기준(장마감),241590,60545435,60545435,2776650,16000,7750,22.01,702,2020.09,26.00,591,1.82,8497,2020.09,0
2021.02.26 기준(장마감),093370,92606819,92606819,4926928,14000,4600,0,-55,2020.09,0,0,4.35,2324,2020.09,0
2021.02.26 기준(장마감),064960,14623136,14623136,3450582,81600,23900,16.84,3723,2020.12,11.00,5831,1.13,55310,2020.12,2.55
2021.02.26 기준(장마감),020000,24630000,24630000,7115367,39650,15900,11.26,3300,2020.09,10.00,3847,0.75,49598,2020.09,1.21
2021.02.26 기준(장마감),284740,22437330,22437330,1245532,48750,24000,11.84,3426,2020.09,0,0,1.85,21937,2020.09,0
2021.02.26 기준(장마감),192080,18374502,18374502,2442081,85800,35400,9.48,5832,2020.09,7.00,7495,1.36,40763,2020.09,0.63
2021.02.26 기준(장마감),004170,9845181,9845181,2451811,283000,199000,0,-31123,2020.09,14.00,19155,0.78,343130,2020.09,0.56
2021.02.26 기준(장마감),006120,19037855,19037855,1923537,91600,15400,4.29,15229,2020.09,0,0,0.69,94360,2020.09,1.53
2021.02.26 기준(장마감),042660,107290669,107290669,9956660,30700,10850,15.66,1625,2020.09,8.00,3001,0.68,37566,2020.09,0
2021.02.26 기준(장마감),003670,77463220,77463220,5712457,184500,30974,355.06,445,2020.09,112.00,1411,10.28,15365,2020.09,0.18
2021.02.26 기준(장마감),086790,300242062,300242062,202022481,40800,18450,4.53,8176,2020.09,4.00,9048,0.35,104821,2020.09,4.99
2021.02.26 기준(장마감),011170,34275419,34275419,9228601,331000,114500,94.00,3383,2020.09,10.00,33286,0.84,380745,2020.09,1.13
2021.02.26 기준(장마감),033780,137292497,137292497,54624090,89500,63000,10.94,7158,2020.09,9.00,8321,1.12,70129,2020.09,6.13
2021.02.26 기준(장마감),251270,85886499,85886499,20361600,204500,80000,50.02,2469,2020.09,30.00,4145,1.98,62399,2020.09,0.62
